Competition,Date,Team,Athlete,Results,Rank,Year,Event_ID,Padronizado
18th FINA World Championships 2019,2019-07-26,USA,Simone MANUEL,52.04,1,2019,18th FINA World Championships 2019 - Gwangju,-1.628858153609164
13th FINA World Championships 2009,2009-07-31,GER,Britta STEFFEN,52.07,1,2009,13th FINA World Championships 2009 - Rome,-1.9184908618788703
World Aquatics Championships - Fukuoka 2023,2023-07-28,AUS,Mollie O'CALLAGHAN,52.16,1,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,-1.311315428646671
World Aquatics Championships - Doha 2024,2024-02-16,NED,Marrit STEENBERGEN,52.26,1,2024,World Aquatics Championships - Doha 2024 - Doha,-1.2586007393104701
17th FINA World Championships 2017,2017-07-28,USA,Simone MANUEL,52.27,1,2017,17th FINA World Championships 2017 - Budapest,-1.4240143253821858
17th FINA World Championships 2017,2017-07-28,SWE,Sarah SJOESTROEM,52.31,2,2017,17th FINA World Championships 2017 - Budapest,-1.3098076626948953
15th FINA World Championships 2013,2013-08-02,AUS,Cate CAMPBELL,52.34,1,2013,15th FINA World Championships 2013 - Barcelona,-1.723792859023113
18th FINA World Championships 2019,2019-07-26,AUS,Cate CAMPBELL,52.43,2,2019,18th FINA World Championships 2019 - Gwangju,-0.7957372619271016
18th FINA World Championships 2019,2019-07-26,SWE,Sarah SJOESTROEM,52.46,3,2019,18th FINA World Championships 2019 - Gwangju,-0.7316510394900176
World Aquatics Championships - Fukuoka 2023,2023-07-28,HKG,Siobhan HAUGHEY,52.49,2,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,-0.8153451232559463
16th FINA World Championships 2015,2015-08-07,AUS,Bronte CAMPBELL,52.52,1,2015,16th FINA World Championships 2015 - Kazan,-1.1859565726552772
World Aquatics Championships - Singapore 2025,2025-08-01,NED,Marrit STEENBERGEN,52.55,1,2025,World Aquatics Championships - Singapore 2025 - Singapore,-1.4372688651952386
World Aquatics Championships - Doha 2024,2024-02-16,HKG,Siobhan HAUGHEY,52.56,2,2024,World Aquatics Championships - Doha 2024 - Doha,-0.9002802441331073
World Aquatics Championships - Singapore 2025,2025-08-01,AUS,Mollie O'CALLAGHAN,52.67,2,2025,World Aquatics Championships - Singapore 2025 - Singapore,-1.0592474650342822
19th FINA World Championships Budapest 2022,2022-06-23,AUS,Mollie O'CALLAGHAN,52.67,1,2022,19th FINA World Championships Budapest 2022 - Budapest,-1.2917451653091834
17th FINA World Championships 2017,2017-07-28,DEN,Pernille BLUME,52.69,3,2017,17th FINA World Championships 2017 - Budapest,-0.22484436716562642
16th FINA World Championships 2015,2015-08-07,SWE,Sarah SJOESTROEM,52.7,2,2015,16th FINA World Championships 2015 - Kazan,-0.9526536403296492
World Aquatics Championships - Fukuoka 2023,2023-07-28,NED,Marrit STEENBERGEN,52.71,3,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,-0.4846982529954702
18th FINA World Championships 2019,2019-07-26,AUS,Emma MCKEON,52.75,4,2019,18th FINA World Championships 2019 - Gwangju,-0.11215088926489708
17th FINA World Championships 2017,2017-07-28,USA,Mallory COMERFORD,52.77,4,2017,17th FINA World Championships 2017 - Budapest,0.003568958208974655
17th FINA World Championships 2017,2017-07-28,NED,Ranomi KROMOWIDJOJO,52.78,5,2017,17th FINA World Championships 2017 - Budapest,0.03212062388079218
19th FINA World Championships Budapest 2022,2022-06-23,SWE,Sarah SJOESTROEM,52.8,2,2022,19th FINA World Championships Budapest 2022 - Budapest,-0.9990621648905536
World Aquatics Championships - Fukuoka 2023,2023-07-28,USA,Kate DOUGLASS,52.81,4,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,-0.33440422105888723
16th FINA World Championships 2015,2015-08-07,AUS,Cate CAMPBELL,52.82,3,2015,16th FINA World Championships 2015 - Kazan,-0.7971183521125668
World Aquatics Championships - Doha 2024,2024-02-16,AUS,Shayna JACK,52.83,3,2024,World Aquatics Championships - Doha 2024 - Doha,-0.57779179847349
World Aquatics Championships - Fukuoka 2023,2023-07-28,AUS,Emma MCKEON,52.83,5,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,-0.30434541467157705
13th FINA World Championships 2009,2009-07-31,GBR,Fran HALSALL,52.87,2,2009,13th FINA World Championships 2009 - Rome,-0.510424174261351
World Aquatics Championships - Singapore 2025,2025-08-01,USA,Torri HUSKE,52.89,3,2025,World Aquatics Championships - Singapore 2025 - Singapore,-0.36620823140589265
15th FINA World Championships 2013,2013-08-02,SWE,Sarah SJOESTROEM,52.89,2,2013,15th FINA World Championships 2013 - Barcelona,-0.9320717129164668
World Aquatics Championships - Singapore 2025,2025-08-01,NED,Milou VAN WIJK,52.91,4,2025,World Aquatics Championships - Singapore 2025 - Singapore,-0.3032046647124149
19th FINA World Championships Budapest 2022,2022-06-23,USA,Torri HUSKE,52.92,3,2022,19th FINA World Championships Budapest 2022 - Budapest,-0.7288932414271833
13th FINA World Championships 2009,2009-07-31,AUS,Libby LENTON,52.93,3,2009,13th FINA World Championships 2009 - Rome,-0.40481917269003276
