Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
1,50 FR LCM,23.61,Sarah Sjostrom,Female,Sweden,Sweden,2023 World Champs,07/29/2023
2,50 FR LCM,23.67,Sarah Sjostrom,Female,Sweden,Sweden,2017 World Champs,07/29/2017
3,50 FR LCM,23.73,Britta Steffen,Female,Germany,Germany,2009 World Champs,08/02/2009
4,50 FR LCM,23.96,Marleen Veldhuis,Female,Netherlands,Netherlands,2008 Olympic Invite,04/19/2009
5,50 FR LCM,23.97,Libby Trickett,Female,Australia,Australia,2008 AUS Olympic Trials,03/27/2008
6,50 FR LCM,24.09,Marleen Veldhuis,Female,Netherlands,Netherlands,2008 European Champs,03/18/2008
7,50 FR LCM,24.13,Inge De Bruijn,Female,Netherlands,Netherlands,2000 Olympic Games,09/22/2000
8,50 FR LCM,24.39,Inge De Bruijn,Female,Netherlands,Netherlands,,06/10/2000
9,50 FR LCM,24.48,Inge De Bruijn,Female,Netherlands,Netherlands,,06/04/2000
10,50 FR LCM,24.51,Jingyi Le,Female,Peoples Republic of China,Peoples Republic of China,1994 US World Championships,09/11/1994
10,50 FR LCM,24.51,Inge De Bruijn,Female,Netherlands,Netherlands,,05/27/2000
12,50 FR LCM,24.79,Wenji Yang,Female,Peoples Republic of China,Peoples Republic of China,1992 Olympic Games,07/31/1992
13,50 FR LCM,24.98,Wenji Yang,Female,Peoples Republic of China,Peoples Republic of China,,04/11/1988
14,50 FR LCM,25.28,Tamara Costache,Female,Bulgaria,Bulgaria,1986 World Champs,08/23/1986
1,100 FR LCM,51.71,Sarah Sjostrom,Female,Sweden,Sweden,2017 World Champs,07/23/2017
2,100 FR LCM,52.06,Cate Campbell,Female,Australia,Australia,2016 Swimming Australia Grand Prix,07/02/2016
3,100 FR LCM,52.07,Britta Steffen,Female,Germany,Germany,2009 World Champs,07/31/2009
4,100 FR LCM,52.22,Britta Steffen,Female,Germany,Germany,2009 World Champs,07/26/2009
5,100 FR LCM,52.56,Britta Steffen,Female,Germany,Germany,2008 Olympic Invite,06/27/2009
6,100 FR LCM,52.85,Britta Steffen,Female,Germany,Germany,,06/25/2009
7,100 FR LCM,52.88,Libby Trickett,Female,Australia,Australia,2008 AUS Olympic Trials,03/27/2008
8,100 FR LCM,53.30,Britta Steffen,Female,Germany,Germany,2006 European Champs,08/02/2006
9,100 FR LCM,53.42,Libby Trickett,Female,Australia,Australia,2006 AUS Commonwealth Gms Trials,01/30/2006
10,100 FR LCM,53.52,Jodie Henry,Female,Australia,Australia,2004 Olympic Games,08/18/2004
11,100 FR LCM,53.66,Libby Trickett,Female,Australia,Australia,,03/31/2004
12,100 FR LCM,53.77,Inge De Bruijn,Female,Netherlands,Netherlands,2000 Olympic Games,09/20/2000
13,100 FR LCM,53.80,Inge De Bruijn,Female,Netherlands,Netherlands,,05/29/2000
14,100 FR LCM,54.01,Jingyi Le,Female,Peoples Republic of China,Peoples Republic of China,1994 US World Championships,09/05/1994
15,100 FR LCM,54.48,Jenny Thompson,Female,United States,United States,,03/01/1992
16,100 FR LCM,54.73,Kristin Otto,Female,Germany,Germany,,08/19/1986
17,100 FR LCM,54.79,Barbara Krause,Female,Germany,Germany,1980 Olympic Games,07/21/1980
18,100 FR LCM,54.98,Barbara Krause,Female,Germany,Germany,,07/20/1980
19,100 FR LCM,55.41,Barbara Krause,Female,Germany,Germany,,07/05/1978
20,100 FR LCM,55.65,Kornelia Ender,Female,Germany,Germany,1976 Olympic Games,07/19/1976
21,100 FR LCM,55.73,Kornelia Ender,Female,Germany,Germany,,06/06/1976
22,100 FR LCM,56.22,Kornelia Ender,Female,Germany,Germany,,07/26/1975
23,100 FR LCM,56.38,Kornelia Ender,Female,Germany,Germany,,03/14/1975
24,100 FR LCM,56.96,Kornelia Ender,Female,Germany,Germany,,08/19/1974
25,100 FR LCM,57.51,Kornelia Ender,Female,Germany,Germany,,07/04/1974
26,100 FR LCM,57.54,Kornelia Ender,Female,Germany,Germany,1973 World Champs,08/31/1973
27,100 FR LCM,57.61,Kornelia Ender,Female,Germany,Germany,,09/08/1973
28,100 FR LCM,58.12,Kornelia Ender,Female,Germany,Germany,,08/18/1973
29,100 FR LCM,58.25,Kornelia Ender,Female,Germany,Germany,,07/13/1973
30,100 FR LCM,58.50,Shane Gould,Female,Australia,Australia,,01/08/1972
31,100 FR LCM,58.90,Shane Gould,Female,Australia,Australia,,04/30/1971
31,100 FR LCM,58.90,Dawn Fraser,Female,Australia,Australia,,02/29/1964
33,100 FR LCM,59.20,Manuella Kalili,Female,United States,,1932 Olympic Games,07/30/1932
34,100 FR LCM,59.50,Dawn Fraser,Female,Australia,Australia,,11/24/1962
35,100 FR LCM,59.90,Dawn Fraser,Female,Australia,Australia,,10/27/1962
36,100 FR LCM,1:00.00,Dawn Fraser,Female,Australia,Australia,,10/23/1962
37,100 FR LCM,1:00.20,Dawn Fraser,Female,Australia,Australia,,02/23/1960
38,100 FR LCM,1:01.20,Dawn Fraser,Female,Australia,Australia,,08/10/1958
39,100 FR LCM,1:01.40,Dawn Fraser,Female,Australia,Australia,,07/21/1958
40,100 FR LCM,1:01.50,Dawn Fraser,Female,Australia,Australia,,02/18/1958
41,100 FR LCM,1:02.00,Dawn Fraser,Female,Australia,Australia,1956 Olympic Games,12/01/1956
42,100 FR LCM,1:02.40,Lorraine Crapp,Female,Australia,Australia,,12/01/1956
43,100 FR LCM,1:03.20,Lorraine Crapp,Female,Australia,Australia,,10/25/1956
44,100 FR LCM,1:03.30,Dawn Fraser,Female,Australia,Australia,,08/25/1956
1,200 FR LCM,1:52.23,Ariarne Titmus,Female,Australia,Australia,Australian Olympic & Paralympic Trials,06/12/2024
2,200 FR LCM,1:52.85,Mollie O'Callaghan,Female,Australia,Australia,2023 World Champs,07/26/2023
3,200 FR LCM,1:52.98,Federica Pellegrini,Female,Italy,Italy,2009 World Champs,07/29/2009
4,200 FR LCM,1:53.67,Federica Pellegrini,Female,Italy,Italy,2009 World Champs,07/28/2009
5,200 FR LCM,1:54.47,Federica Pellegrini,Female,Italy,Italy,QUAL YOG 2010 / Italian Spring Championships,03/08/2009
6,200 FR LCM,1:54.82,Federica Pellegrini,Female,Italy,Italy,2008 Olympic Games,08/13/2008
7,200 FR LCM,1:55.45,Federica Pellegrini,Female,Italy,Italy,2008 Olympic Games,08/11/2008
8,200 FR LCM,1:55.52,Laure Manaudou,Female,France,France,2007 World Champs,03/25/2007
9,200 FR LCM,1:56.47,Federica Pellegrini,Female,Italy,Italy,2007 World Champs,03/25/2007
10,200 FR LCM,1:56.64,Franziska Van Almsick,Female,Germany,Germany,2002 US European Champs,08/04/2002
11,200 FR LCM,1:56.78,Franziska Van Almsick,Female,Germany,Germany,1994 World Champs,09/06/1994
12,200 FR LCM,1:57.55,Heike Friedrich,Female,Germany,Germany,,06/18/1986
13,200 FR LCM,1:57.75,Kristin Otto,Female,Germany,Germany,,05/23/1984
14,200 FR LCM,1:58.23,Sippy Woodhead,Female,United States,,1979 US NAG Records,09/02/1979
15,200 FR LCM,1:58.43,Sippy Woodhead,Female,United States,,,07/03/1979
16,200 FR LCM,1:58.53,Sippy Woodhead,Female,United States,,1978 US NAG Records,08/22/1978
17,200 FR LCM,1:59.04,Barbara Krause,Female,Germany,Germany,,07/02/1978
18,200 FR LCM,1:59.26,Kornelia Ender,Female,Germany,Germany,1976 Olympic Games,07/22/1976
19,200 FR LCM,1:59.78,Kornelia Ender,Female,Germany,Germany,,06/02/1976
20,200 FR LCM,2:02.27,Kornelia Ender,Female,Germany,Germany,,03/15/1975
21,200 FR LCM,2:02.94,Shirley Babashoff,Female,United States,,1974 National Champs,08/22/1974
22,200 FR LCM,2:03.22,Kornelia Ender,Female,Germany,Germany,,08/22/1974
