Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
1,100 FR LCM,46.4,Zhanle PAN,Male,Peoples Republic of China,Peoples Republic of China,2024 Olympic Games,07/31/2024
2,100 FR LCM,46.8,Zhanle PAN,Male,Peoples Republic of China,Peoples Republic of China,2024 World Champs,02/11/2024
3,100 FR LCM,46.86,David Popovici,Male,Romania,Romania,LEN European Aquatics Championships,08/13/2022
4,100 FR LCM,46.91,Cesar Cielo,Male,Brazil,Brazil,2009 World Champs,07/30/2009
5,100 FR LCM,46.94,Alain Bernard,Male,France,France,2009 FRA National Champs,04/23/2009
6,100 FR LCM,47.05,Eamon Sullivan,Male,Australia,Australia,2008 Olympic Games,08/13/2008
7,100 FR LCM,47.2,Alain Bernard,Male,France,France,2008 Olympic Games,08/13/2008
8,100 FR LCM,47.24,Eamon Sullivan,Male,Australia,Australia,2008 Olympic Games,08/11/2008
9,100 FR LCM,47.5,Alain Bernard,Male,France,France,2008 European Champs,03/22/2008
10,100 FR LCM,47.6,Alain Bernard,Male,France,France,2008 European Champs,03/21/2008
11,100 FR LCM,47.84,Pieter Van Den Hoogenband,Male,Netherlands,Netherlands,2000 Olympic Games,09/19/2000
12,100 FR LCM,48.18,Michael Klim,Male,Australia,Australia,2000 Olympic Games Relay Leadoff,09/16/2000
13,100 FR LCM,48.21,Alexander Popov,Male,Russia,Russia,,06/18/1994
14,100 FR LCM,48.42,Matt Biondi,Male,United States,,1988 Olympic Trials,08/10/1988
15,100 FR LCM,48.74,Matt Biondi,Male,United States,,,06/24/1986
16,100 FR LCM,48.95,Matt Biondi,Male,United States,,1985 National Champs,08/06/1985
17,100 FR LCM,49.24,Matt Biondi,Male,United States,,,08/06/1985
18,100 FR LCM,49.36,Rowdy Gaines,Male,United States,,,04/03/1981
19,100 FR LCM,49.44,Jonty Skinner,Male,United States,,1976 National Champs,08/14/1976
20,100 FR LCM,49.99,Jim Montgomery,Male,United States,,1976 Olympic Games,07/25/1976
21,100 FR LCM,50.39,Jim Montgomery,Male,United States,,,07/24/1976
22,100 FR LCM,50.59,Jim Montgomery,Male,United States,,,08/23/1975
23,100 FR LCM,51.05,Jonty Skinner,Male,United States,,1975 National Champs,08/20/1975
24,100 FR LCM,51.11,Andrew Coan,Male,Unknown,,,08/03/1975
25,100 FR LCM,51.12,Jim Montgomery,Male,United States,,,06/21/1975
26,100 FR LCM,51.22,Mark Spitz,Male,United States,,1972 Olympic Games,09/03/1972
27,100 FR LCM,51.47,Mark Spitz,Male,United States,,,08/05/1972
28,100 FR LCM,51.94,Mark Spitz,Male,United States,,,08/23/1970
29,100 FR LCM,52.2,Michael Wenden,Male,Australia,Australia,1968 Olympic Games,10/12/1968
30,100 FR LCM,52.6,Zac Zorn,Male,United States,,,09/02/1968
30,100 FR LCM,52.6,Kenneth Walsh,Male,United States,,,07/27/1967
32,100 FR LCM,52.9,Alain Gottvalles,Male,France,France,,09/13/1964
33,100 FR LCM,53.6,Manuel Dos Santos,Male,Brazil,Brazil,,09/20/1961
34,100 FR LCM,54.4,Steve Clark,Male,United States,,1961 Men's National Champs,08/18/1961
35,100 FR LCM,54.6,John Devitt,Male,Australia,Australia,,01/28/1957
36,100 FR LCM,55.2,John Devitt,Male,Australia,Australia,,01/19/1957
37,100 FR LCM,55.4,Jon Henricks,Male,Australia,Australia,1956 Olympic Games,11/22/1956
