Rank,Results,Name,Team,Competition,Year
1,46.4,Zhanle PAN,Peoples Republic of China,2024 Olympic Games,2024
2,46.8,Zhanle PAN,Peoples Republic of China,2024 World Champs,2024
3,46.86,David Popovici,Romania,LEN European Aquatics Championships,2022
4,46.91,Cesar Cielo,Brazil,2009 World Champs,2009
5,46.94,Alain Bernard,France,2009 FRA National Champs,2009
6,47.05,Eamon Sullivan,Australia,2008 Olympic Games,2008
7,47.2,Alain Bernard,France,2008 Olympic Games,2008
8,47.24,Eamon Sullivan,Australia,2008 Olympic Games,2008
9,47.5,Alain Bernard,France,2008 European Champs,2008
10,47.6,Alain Bernard,France,2008 European Champs,2008
11,47.84,Pieter Van Den Hoogenband,Netherlands,2000 Olympic Games,2000
12,48.18,Michael Klim,Australia,2000 Olympic Games Relay Leadoff,2000
13,48.21,Alexander Popov,Russia,,1994
14,48.42,Matt Biondi,United States,1988 Olympic Trials,1988
15,48.74,Matt Biondi,United States,,1986
16,48.95,Matt Biondi,United States,1985 National Champs,1985
17,49.24,Matt Biondi,United States,,1985
18,49.36,Rowdy Gaines,United States,,1981
19,49.44,Jonty Skinner,United States,1976 National Champs,1976
20,49.99,Jim Montgomery,United States,1976 Olympic Games,1976
21,50.39,Jim Montgomery,United States,,1976
22,50.59,Jim Montgomery,United States,,1975
23,51.05,Jonty Skinner,United States,1975 National Champs,1975
24,51.11,Andrew Coan,Unknown,,1975
25,51.12,Jim Montgomery,United States,,1975
26,51.22,Mark Spitz,United States,1972 Olympic Games,1972
27,51.47,Mark Spitz,United States,,1972
