Rank,Results,Name,Team,Competition,Year
1,51.71,Sarah Sjostrom,Sweden,2017 World Champs,2017
2,52.06,Cate Campbell,Australia,2016 Swimming Australia Grand Prix,2016
3,52.07,Britta Steffen,Germany,2009 World Champs,2009
4,52.22,Britta Steffen,Germany,2009 World Champs,2009
5,52.56,Britta Steffen,Germany,2008 Olympic Invite,2009
6,52.85,Britta Steffen,Germany,,2009
7,52.88,Libby Trickett,Australia,2008 AUS Olympic Trials,2008
8,53.30,Britta Steffen,Germany,2006 European Champs,2006
9,53.42,Libby Trickett,Australia,2006 AUS Commonwealth Gms Trials,2006
10,53.52,Jodie Henry,Australia,2004 Olympic Games,2004
11,53.66,Libby Trickett,Australia,,2004
12,53.77,Inge De Bruijn,Netherlands,2000 Olympic Games,2000
13,53.80,Inge De Bruijn,Netherlands,,2000
14,54.01,Jingyi Le,Peoples Republic of China,1994 US World Championships,1994
15,54.48,Jenny Thompson,United States,,1992
16,54.73,Kristin Otto,Germany,,1986
17,54.79,Barbara Krause,Germany,1980 Olympic Games,1980
18,54.98,Barbara Krause,Germany,,1980
19,55.41,Barbara Krause,Germany,,1978
20,55.65,Kornelia Ender,Germany,1976 Olympic Games,1976
21,55.73,Kornelia Ender,Germany,,1976
22,56.22,Kornelia Ender,Germany,,1975
23,56.38,Kornelia Ender,Germany,,1975
24,56.96,Kornelia Ender,Germany,,1974
25,57.51,Kornelia Ender,Germany,,1974
26,57.54,Kornelia Ender,Germany,1973 World Champs,1973
27,57.61,Kornelia Ender,Germany,,1973
28,58.12,Kornelia Ender,Germany,,1973
29,58.25,Kornelia Ender,Germany,,1973
30,58.50,Shane Gould,Australia,,1972
31,58.90,Shane Gould,Australia,,1971
